"uid" "id" "symbol" "ensembleid"
"112" 112 26281 "FGF20" "9606.ENSP00000180166"
"113" 113 1361 "CPB2" "9606.ENSP00000181383"
"114" 114 27248 "ERLEC1" "9606.ENSP00000185150"
"115" 115 10777 "ARPP21" "9606.ENSP00000187397"
"116" 116 8839 "WISP2" "9606.ENSP00000190983"
"117" 117 9812 "KIAA0141" "9606.ENSP00000194118"
"118" 118 56131 "PCDHB4" "9606.ENSP00000194152"
"119" 119 56133 "PCDHB2" "9606.ENSP00000194155"
"120" 120 55437 "STRADB" "9606.ENSP00000194530"
"122" 122 5019 "OXCT1" "9606.ENSP00000196371"
"123" 123 25799 "ZNF324" "9606.ENSP00000196482"
"124" 124 55659 "ZNF416" "9606.ENSP00000196489"
"125" 125 -1 "-1" "9606.ENSP00000196548"
"126" 126 6193 "RPS5" "9606.ENSP00000196551"
"127" 127 54700 "RRN3" "9606.ENSP00000198767"
"128" 128 359 "AQP2" "9606.ENSP00000199280"
"129" 129 27102 "EIF2AK1" "9606.ENSP00000199389"
"130" 130 4680 "CEACAM6" "9606.ENSP00000199764"
"131" 131 3294 "HSD17B2" "9606.ENSP00000199936"
"132" 132 3691 "ITGB4" "9606.ENSP00000200181"
"133" 133 23645 "PPP1R15A" "9606.ENSP00000200453"
"134" 134 7205 "TRIP6" "9606.ENSP00000200457"
"136" 136 1071 "CETP" "9606.ENSP00000200676"
"137" 137 7022 "TFAP2C" "9606.ENSP00000201031"
"138" 138 28954 "REM1" "9606.ENSP00000201979"
"139" 139 23368 "PPP1R13B" "9606.ENSP00000202556"
"140" 140 57186 "RALGAPA2" "9606.ENSP00000202677"
"141" 141 -1 "-1" "9606.ENSP00000202788"
"142" 142 23409 "SIRT4" "9606.ENSP00000202967"
"143" 143 3902 "LAG3" "9606.ENSP00000203629"
"144" 144 7023 "TFAP4" "9606.ENSP00000204517"
"145" 145 8646 "CHRD" "9606.ENSP00000204604"
"146" 146 7066 "THPO" "9606.ENSP00000204615"
"147" 147 1947 "EFNB1" "9606.ENSP00000204961"
"148" 148 10683 "DLL3" "9606.ENSP00000205143"
"149" 149 22798 "LAMB4" "9606.ENSP00000205386"
"150" 150 51168 "MYO15A" "9606.ENSP00000205890"
"151" 151 2099 "ESR1" "9606.ENSP00000206249"
"152" 152 26575 "RGS17" "9606.ENSP00000206262"
"153" 153 151887 "CCDC80" "9606.ENSP00000206423"
"156" 156 7051 "TGM1" "9606.ENSP00000206765"
"157" 157 -1 "-1" "9606.ENSP00000207437"
"158" 158 126370 "OR1I1" "9606.ENSP00000209540"
"159" 159 124 "ADH1A" "9606.ENSP00000209668"
"160" 160 990 "CDC6" "9606.ENSP00000209728"
"161" 161 8086 "AAAS" "9606.ENSP00000209873"
"162" 162 23468 "CBX5" "9606.ENSP00000209875"
"163" 163 27252 "KLHL20" "9606.ENSP00000209884"
"164" 164 57715 "SEMA4G" "9606.ENSP00000210633"
"165" 165 5603 "MAPK13" "9606.ENSP00000211287"
"166" 166 7738 "ZNF184" "9606.ENSP00000211936"
